Store,Dept,Date,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Size,IsHoliday,Month,Week,Year,Day,DayOfWeek,Weekly_Sales_Rolling4,Sales_vs_StoreMean,Type_B,Type_C
1,1,2010-02-05,24924.5,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,151315,0,2,5,2010,5,4,,1.3381324857570385,False,False
1,1,2010-02-12,46039.49,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,151315,1,2,6,2010,12,4,,2.471742149157909,False,False
1,1,2010-02-19,41595.55,39.93,2.514,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,151315,0,2,7,2010,19,4,,2.2331584071067097,False,False
1,1,2010-02-26,19403.54,46.63,2.561,0.0,0.0,0.0,0.0,0.0,211.3196429,8.106,151315,0,2,8,2010,26,4,32990.770000000004,1.0417263019393015,False,False
1,1,2010-03-05,21827.9,46.5,2.625,0.0,0.0,0.0,0.0,0.0,211.3501429,8.106,151315,0,3,9,2010,5,4,32216.620000000003,1.1718839730328017,False,False
1,1,2010-03-12,21043.39,57.79,2.667,0.0,0.0,0.0,0.0,0.0,211.3806429,8.106,151315,0,3,10,2010,12,4,25967.595,1.1297656430201128,False,False
1,1,2010-03-19,22136.64,54.58,2.72,0.0,0.0,0.0,0.0,0.0,211.215635,8.106,151315,0,3,11,2010,19,4,21102.8675,1.1884594318645785,False,False
1,1,2010-03-26,26229.21,51.45,2.732,0.0,0.0,0.0,0.0,0.0,211.0180424,8.106,151315,0,3,12,2010,26,4,22809.285,1.4081790197092567,False,False
1,1,2010-04-02,57258.43,62.27,2.719,0.0,0.0,0.0,0.0,0.0,210.8204499,7.808,151315,0,4,13,2010,2,4,31666.9175,3.0740582666230165,False,False
1,1,2010-04-09,42960.91,65.86,2.77,0.0,0.0,0.0,0.0,0.0,210.6228574,7.808,151315,0,4,14,2010,9,4,37146.2975,2.3064610840211204,False,False
1,1,2010-04-16,17596.96,66.32,2.808,0.0,0.0,0.0,0.0,0.0,210.4887,7.808,151315,0,4,15,2010,16,4,36011.3775,0.9447356547400018,False,False
1,1,2010-04-23,16145.35,64.84,2.795,0.0,0.0,0.0,0.0,0.0,210.4391228,7.808,151315,0,4,16,2010,23,4,33490.4125,0.8668024365149712,False,False
1,1,2010-04-30,16555.11,67.41,2.78,0.0,0.0,0.0,0.0,0.0,210.3895456,7.808,151315,0,4,17,2010,30,4,23314.582500000004,0.8888014000794883,False,False
